Village,Latitude,Longitude
Khetgaon,22.870554,81.388251
Ghata,22.860972,81.424308
Sunpuri,22.88415,81.412184
Dhurwa Tola,22.865906,81.349315
Kanchanpur,22.859384,81.364125
Thadh Pathar,22.863802,81.412687
Gutti Para,22.856101,81.468391
Deori,22.845864,81.446045
Damehari,22.82475,81.454104
Ghuidadar,22.814781,81.479903
Koylari,22.799748,81.456088
Paraswar,22.777797,81.47539
Sheoni Sangam,22.778533,81.457813
Sonbarsa,24.802463,80.919545
Madwa,23.142611,81.407014
Pakari Sondha,22.772358,81.655162
Tarera Mal,22.713296,81.586652
Kabir Chabutra Khurkhuri,22.777276,81.678446
Khannat Mal,22.766691,81.633704
Kirangi Mal,22.760187,81.61753
Pakri Ryt,22.748401,81.514346
Harra Tola Ryt,22.752983,81.605451
Bhimkundi Mal,22.746854,81.564159
Raitwar Mal,22.744645,81.643806
Garkamatta Ryt,22.749895,81.58985
Medhakhar Mal,22.738093,81.580886
Roosa Mal,22.74376,81.52666
Barnai Mal,22.734168,81.546445
Sarai Tola,22.74561,81.619249
Bahpuri,22.850706,81.703467
Karanjiya Mal,22.732498,81.614482
Roosa Ryt,22.734604,81.522976
Karondi Mal,22.725515,81.563238
Ramnagar Ryt,22.706476,81.617609
Bargaon Ryt,22.716289,81.653426
Bundela Ryt,22.723461,81.527285
Barbaspur Mal,22.70305,81.550432
Karanjiya Ryt,22.714122,81.636489
Bondar Ryt,22.698586,81.66058
Dubha,23.140928,81.3962
Narigwara Ryt,22.683007,81.665983
Jogirwara,22.672173,81.60887
Jagatpur,22.671321,81.696909
Thamardar,22.889374,81.540153
Kitaha,24.797637,80.999442
Sonhara,22.892743,81.690524
Dharhar Kalan,22.888316,81.616675
Jilan,22.879195,81.569684
Chhapani,22.882177,81.589347
Bendi,22.88057,81.519128
Salharo,22.887806,81.640128
Karaundi,22.883775,81.675957
Garhrihan,24.777546,80.999229
Keshwani,22.878786,81.490863
Umaniya,22.863708,81.660034
Pathaiti,22.873519,81.629405
Pardi,22.874198,81.645508
Belgawan,22.857367,81.679279
Bahpur,22.857863,81.694522
Boda,22.85143,81.576391
Gadhidadar,22.864334,81.606837
Piparha,22.856628,81.634366
Bijaura,22.846425,81.505642
Sanchara,22.849959,81.483183
Khursi,22.852715,81.546239
Mahora,22.830477,81.534993
Paladongri,22.830307,81.522989
Chachandih,22.845675,81.60796
Nonghati,22.836245,81.687986
Mohadi,22.814176,81.631563
Kekariya,22.825958,81.567089
Harrai,22.819979,81.66374
Kamlo,24.766625,80.795642
Khati,22.81265,81.605659
Sarwahi,22.821272,81.497831
Kasturi,22.81214,81.507013
Padariya,22.797449,81.59129
Duari,22.812403,81.553743
Newsa,22.801163,81.48767
Lapti,22.875363,81.755573
Kumharwar,22.785603,81.579929
Bilaspur,22.800601,81.534532
Miriya,22.793051,81.688205
Guguwa Kapa,22.792313,81.665707
Purga,22.781849,81.496936
Karaunda Tola,22.769265,81.573518
Khajurwar,22.77913,81.530154
Bhimkundi,22.773988,81.550792
Baghni Bhawar,22.777208,81.512205
Khalhe Bhavar Khandi,23.07333,81.201578
Sarai Tola,22.758908,81.536218
Amgawan,22.884589,81.739343
Mekal Pahad,22.887105,81.776276
Dhobe,22.893178,81.717278
Basahi,22.877464,81.705902
Ledhara,22.864822,81.721916
Moti Sagar,24.740229,80.840126
Jamkachhar,22.862211,81.762992
Medha Khar,22.857949,81.741433
Dauniya,22.846137,81.737452
Bhejari,22.833941,81.707894
Batki,22.845112,81.760701
Tali,22.833295,81.745371
Pondi,22.816719,81.715184
